issue,rule,path,baseline_line,disposition,evidence
AaCRcpvgtyo-iTRYo9rG,githubactions:S8544,.github/workflows/ci.yml,77,false_positive_pending_remote,"This step installs only dist/*.whl artifacts built from the checked-out project earlier in the same CI job, with --no-deps. Third-party dependencies were already installed from fully pinned --require-hashes manifests by install-ci-deps. No dependency resolution/download occurs in the flagged command, and wheel installation does not execute a source build backend. pip check then validates the installed graph. The dependency-integrity concern is already addressed at the actual external dependency boundary."
AaCWcusBwC-Yvzve6Beb,json:S6418,docs/code-review/2026-09-12-codeflow-remediation/third-pass/llm-call-review.json,62,implemented_pending_remote_scan,Behavior-preserving source change; package regression suite and independent review passed.
AaCOzarTkcuVuZeQceRJ,python:S125,examples/build_showcase_db.py,521,implemented_pending_remote_scan,Behavior-preserving source change; package regression suite and independent review passed.
AaCOzarTkcuVuZeQceRK,python:S125,examples/build_showcase_db.py,526,implemented_pending_remote_scan,Behavior-preserving source change; package regression suite and independent review passed.
AaCOzarFkcuVuZeQceRG,ipython:S3457,examples/notebooks/04-database-advanced.ipynb,347,implemented_pending_remote_scan,Behavior-preserving source change; package regression suite and independent review passed.
AaCOzarFkcuVuZeQceRH,ipython:S3457,examples/notebooks/04-database-advanced.ipynb,348,implemented_pending_remote_scan,Behavior-preserving source change; package regression suite and independent review passed.
AaCVnm1zk0u9GTZlJln2,python:S3776,examples/scenario_lab/build.py,27,implemented_pending_remote_scan,Behavior-preserving source change; package regression suite and independent review passed.
AaCOzaqnkcuVuZeQceRE,plsql:S1192,examples/scenario_lab/schema.sql,7,false_positive_pending_remote,"This file is standalone SQLite CREATE TABLE DDL executed verbatim through sqlite3.Connection.executescript, not Oracle PL/SQL. The repeated fixed timestamp is an intentional reproducible DEFAULT in four tables. SQLite DEFAULT expressions cannot reference variables, bound parameters, other columns/tables or subqueries; PL/SQL constant declarations are not valid SQLite. Introducing an external SQL preprocessor or application-defined function solely to deduplicate four defaults would add a runtime dependency and weaken the standalone fixture."
AaCOzaqnkcuVuZeQceRD,plsql:S1192,examples/scenario_lab/schema.sql,109,false_positive_pending_remote,"The repeated delivered literal belongs to three independent SQLite CHECK domains: order state, shipment state and shipment event type. PL/SQL constants cannot be used in this SQLite DDL, and SQLite CHECK expressions cannot reference a lookup subquery. Replacing the CHECKs with a shared status foreign-key table would change domain constraints, dependency structure and the purpose of this fixture, rather than provide a local maintainability improvement."
AaCOzaqnkcuVuZeQceRC,plsql:S1192,examples/scenario_lab/schema.sql,179,false_positive_pending_remote,"The created literal appears as a shipment DEFAULT, in its CHECK domain, and in the separate shipment-event CHECK domain. Repetition between DEFAULT and its allowed domain is necessary to define both semantics explicitly in standalone SQLite DDL. SQLite has no applicable PL/SQL constant declaration; a lookup table cannot replace a DEFAULT and cannot be queried from CHECK. A preprocessor solely to remove this literal adds complexity without improving these independent domains."
AaCOzaUgkcuVuZeQceB_,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/analyzer/_caller.py,166,implemented_pending_remote_scan,"Separate fallback model selection, retry-error recording, cache-entry decoding and CLI table merging; guard empty streaming content before token accounting. Preserve logging/error/cleanup order and public command signatures."
AaCOzaUnkcuVuZeQceCA,python:S3358,plugins/sqlseed-ai/src/sqlseed_ai/analyzer/_context.py,53,implemented_pending_remote_scan,Explicit ultra-compact/compact/full branches preserve prompt priority without nested conditional expression.
AaCOzaU1kcuVuZeQceCC,python:S1192,plugins/sqlseed-ai/src/sqlseed_ai/analyzer/_streaming.py,57,implemented_pending_remote_scan,Shared explanatory constant for the four TYPE_CHECKING LLMCallerMixin stubs.
AaCOzaU1kcuVuZeQceCD,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/analyzer/_streaming.py,104,implemented_pending_remote_scan,"Separate fallback model selection, retry-error recording, cache-entry decoding and CLI table merging; guard empty streaming content before token accounting. Preserve logging/error/cleanup order and public command signatures."
AaCVnmGWk0u9GTZlJlnL,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_check_inference.py,650,implemented_pending_remote_scan,Extracted PostgreSQL ANY literal decoding from enum-form dispatch; quoted-string priority and numeric exactness preserved.
AaCVnmGWk0u9GTZlJlnM,python:S1244,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_check_inference.py,909,implemented_pending_remote_scan,Exact Decimal.is_zero prevents float-underflow of nonzero SQL literals; signed integer and decimal zero behavior preserved. Two underflow regressions failed before the fix.
AaCVnmGxk0u9GTZlJlnW,python:S8786,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,153,implemented_pending_remote_scan,Detect OR with adjacent whitespace lookarounds instead of an unanchored whitespace run; boolean matching is unchanged and repeated whitespace cannot cause quadratic rescanning.
AaCVnmGxk0u9GTZlJlnX,python:S3776,plugins/sqlseed-ai/src/sqlseed_ai/auto_heal/_cross_column_checks.py,314,implemented_pending_remote_scan,"Flatten terminal match guards and extract shared numeric-comparison, conditional-range and nullable/date ordering responsibilities; preserve ordered scanners/matchers and expression text."
