issue,previous_issue,rule,path,scan_line,disposition,evidence
AaCXPFsoyyKf7W-fda0f,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/dropdown.js,142,resolved_in_4f315e0_scan,"Move navigateOptions from onKey to createDropdown, the nearest scope owning its captured state. Function body, arguments, returned values and free-variable binding owners remain identical."
AaCXPFsoyyKf7W-fda0g,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/dropdown.js,181,resolved_in_4f315e0_scan,"Move dismissKey from onKey to createDropdown, the nearest scope owning its captured state. Function body, arguments, returned values and free-variable binding owners remain identical."
AaCXPFwDyyKf7W-fda0n,,javascript:S3626,plugins/sqlseed-web/src/sqlseed_web/static/js/genform.js,352,resolved_in_4f315e0_scan,Remove only the redundant trailing return from renderDerivedConfig; the existing caller still returns immediately after rendering derived mode.
AaCXPFwDyyKf7W-fda0o,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/genform.js,354,resolved_in_4f315e0_scan,"Move generatorOptions from render to createGenForm, the nearest scope owning its captured state. Function body, arguments, returned values and free-variable binding owners remain identical."
AaCXPFuayyKf7W-fda0j,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/pages/meta.js,94,resolved_in_4f315e0_scan,"Move jobStatusClass from renderJobs to module, the nearest scope owning its captured state. Function body, arguments, returned values and free-variable binding owners remain identical."
AaCXPFsPyyKf7W-fda0e,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/workbench/connection.js,352,resolved_in_4f315e0_scan,"Move switchConnectionLabel from <anonymous> to openConnectionDialog, the nearest scope owning its captured state. Function body, arguments, returned values and free-variable binding owners remain identical."
AaCXPFp5yyKf7W-fda0b,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/workbench/graph.js,427,resolved_in_4f315e0_scan,"Move visibleGraph from projection to createSchemaGraph, the nearest scope owning its captured state. Function body, arguments, returned values and free-variable binding owners remain identical."
AaCXPFrMyyKf7W-fda0d,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/workbench/preview.js,481,resolved_in_4f315e0_scan,"Move showPreviewLoading from <anonymous> to openDataPreview, the nearest scope owning its captured state. Function body, arguments, returned values and free-variable binding owners remain identical."
AaCXPFvayyKf7W-fda0k,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/pages/workbench.js,416,resolved_in_4f315e0_scan,"Move adoptSchema from mount to module scope; all captured bindings already belonged to the module. Preserve its body and every caller, including the active-version guards after awaits."
AaCXPFvayyKf7W-fda0l,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/pages/workbench.js,428,resolved_in_4f315e0_scan,Move restorePreviewReturn from mount to module scope; its session/previewReturns bindings remain identical and its invocation remains after the post-await active-version guard.
AaCXPFvayyKf7W-fda0m,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/pages/workbench.js,2410,resolved_in_4f315e0_scan,"Move providerUnavailableMessage to showGuide, the nearest scope owning its description binding. Preserve providers and draft from configSettings; no state is moved to module scope."
AaCXPFpAyyKf7W-fda0Z,,javascript:S7721,plugins/sqlseed-web/src/sqlseed_web/static/js/workbench/editor.js,202,resolved_in_4f315e0_scan,"Move applyDerivedMode from applyMode to createRuleEditor, retaining that editor instance's current rule and the unchanged mutation order."
AaCXPFpAyyKf7W-fda0a,,javascript:S2301,plugins/sqlseed-web/src/sqlseed_web/static/js/workbench/editor.js,301,resolved_in_4f315e0_scan,"Replace the multiline selector parameter with explicit textControl and multilineControl constructors. Both delegate common validation, restored draft handling and event wiring to validatedControl. Numeric callers provide input type directly; JSON/derived/native callers choose the multiline constructor."
AaCXPFqSyyKf7W-fda0c,,javascript:S7786,plugins/sqlseed-web/src/sqlseed_web/static/js/workbench/ai.js,737,resolved_in_4f315e0_scan,"Use TypeError for a malformed non-array suggestions response. Preserve the same message, catch/failure display and finally cleanup."
AaCOzadmkcuVuZeQceIZ,,python:S3415,plugins/sqlseed-web/tests/test_workbench_data.py,91,resolved_in_4f315e0_scan,"Split the tuple assertion into named target-key and target-label assertions. Both actual values remain on the left, and each expected field is checked independently. The previous tuple literal was classified as expected-first by Sonar."
AaCXPFaEyyKf7W-fda0Y,,python:S1172,plugins/sqlseed-ai/src/sqlseed_ai/validator/cross_column.py,31,resolved_in_4f315e0_scan,"Remove an unused snapshot parameter from internal CrossColumnValidator.validate and its single production caller. This class has no public package export or extension Protocol; only historical implementation-design snippets describe the old signature. FastValidator retains its snapshot API and real FK/dialect checks. Update six direct tests, removing unused database setup and strengthening the normal-generator assertion to exact empty violations."
AaCXPFuEyyKf7W-fda0h,AaCOzagUkcuVuZeQceLR,javascript:S7767,plugins/sqlseed-web/src/sqlseed_web/static/js/pages/connect.js,,confirmed_false_positive_pending_remote,"Intentional signed-32-bit overflow, not number truncation. hashStr folds UTF-16 code units using a 31-based polynomial; | 0 is the modulo-2^32 operation. Math.trunc neither preserves this overflow nor the existing connection-group palette. The rule targets accidental truncation idioms and is inapplicable to this hash algorithm."
AaCXPFuEyyKf7W-fda0i,AaCOzagUkcuVuZeQceLS,javascript:S7758,plugins/sqlseed-web/src/sqlseed_web/static/js/pages/connect.js,,confirmed_false_positive_pending_remote,"This function hashes all UTF-16 code units, including both halves of surrogate pairs; it does not interpret one code unit as a complete Unicode character. Unicode strings are accepted without data loss. A code-point hash is a different algorithm and changes existing group colors, so the rule's character-processing preference is not applicable. The upstream rule explicitly acknowledges that replacing charCodeAt in numeric hashes is not a safe rename."
